Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,58.485714,58.928570,58.428570,58.747143,39.172771,75555200
2012-01-04,58.571430,59.240002,58.468571,59.062859,39.383293,65005500
2012-01-05,59.278572,59.792858,58.952858,59.718571,39.820515,67817400
2012-01-06,59.967144,60.392857,59.888573,60.342857,40.236809,79573200
2012-01-09,60.785713,61.107143,60.192856,60.247143,40.172970,98506100
2012-01-10,60.844284,60.857143,60.214287,60.462856,40.316807,64549100
2012-01-11,60.382858,60.407143,59.901428,60.364285,40.251083,53771200
2012-01-12,60.325714,60.414288,59.821430,60.198570,40.140579,53146800
2012-01-13,59.957142,60.064285,59.808571,59.972858,39.990093,56505400
2012-01-17,60.599998,60.855713,60.422855,60.671429,40.455898,60724300
2012-01-18,60.994286,61.352856,60.900002,61.301430,40.875977,69197800
2012-01-19,61.450001,61.624287,60.930000,61.107143,40.746429,65434600
2012-01-20,61.070000,61.071430,59.964287,60.042858,40.036770,103493600
2012-01-23,60.381428,61.207142,60.328571,61.058571,40.714039,76515600
2012-01-24,60.728573,60.728573,59.935715,60.058571,40.047241,136909500
2012-01-25,64.919998,64.921425,63.389999,63.808571,42.547745,239578500
2012-01-26,64.051430,64.112854,63.305714,63.518570,42.354374,80996300
2012-01-27,63.477142,64.068573,63.395714,63.897144,42.606808,74927300
2012-01-30,63.672855,64.842857,63.627144,64.715714,43.152634,94835300
2012-01-31,65.084282,65.462860,64.724289,65.211426,43.483173,97920900
2012-02-01,65.487144,65.570000,65.078575,65.169998,43.455555,67511500
2012-02-02,65.128571,65.309998,64.854286,65.017143,43.353626,46699100
2012-02-03,65.328575,65.714287,65.080002,65.668571,43.787991,71649900
2012-02-06,65.482857,66.425713,65.457146,66.281425,44.196655,62353200
2012-02-07,66.464287,67.107140,66.368568,66.975716,44.659607,79055900
2012-02-08,67.214287,68.112854,67.099998,68.097145,45.407379,101972500
2012-02-09,68.680000,70.964287,68.651428,70.452858,46.978184,221053700
2012-02-10,70.137146,71.088570,69.792854,70.488571,47.001984,157825500
2012-02-13,71.361427,71.975716,71.012856,71.800003,47.876461,129304000
2012-02-14,72.094284,72.794289,71.714287,72.779999,48.529926,115099600
2012-02-15,73.465714,75.184288,70.984283,71.095711,47.406830,376530000
2012-02-16,70.214287,72.127144,69.518570,71.744286,47.839321,236138000
2012-02-17,71.872856,72.538574,71.471428,71.731430,47.830730,133951300
2012-02-21,72.411430,73.550003,72.017143,73.550003,49.043362,151398800
2012-02-22,73.297142,73.641426,72.724289,73.291428,48.870945,120825600
2012-02-23,73.582855,73.975716,72.785713,73.769997,49.190063,142006900
2012-02-24,74.238571,74.699997,74.091431,74.629997,49.763515,103768000
2012-02-27,74.472855,75.500000,73.754288,75.108574,50.082630,136895500
2012-02-28,75.422859,76.487144,75.121429,76.487144,51.001869,150096800
2012-02-29,77.365715,78.230003,76.528572,77.491432,51.671520,238002800
2012-03-01,78.309998,78.315712,76.967140,77.781425,51.864895,170817500
2012-03-02,77.748573,78.114288,77.502853,77.882858,51.932507,107928100
2012-03-05,77.917145,78.211426,75.142860,76.165718,50.787521,202281100
2012-03-06,74.808571,76.241432,73.745712,75.751427,50.511272,202559700
2012-03-07,76.685715,76.825714,74.757141,75.812859,50.552238,199630200
2012-03-08,76.384285,77.570000,76.017143,77.427139,51.628654,129114300
2012-03-09,77.744286,78.248573,77.587143,77.881432,51.931568,104729800
2012-03-12,78.425713,78.857140,78.142860,78.857140,52.582176,101820600
2012-03-13,79.648575,81.168571,79.392860,81.157143,54.115833,172713800
